Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,NEW_Country,NEW_City
United States of America,Clarksville,77,Moderate,3,Good,8,Good,31,Good,77,Moderate,38.322,-85.7673,United States,Clarksville
United States of America,Clarksville,77,Moderate,3,Good,8,Good,31,Good,77,Moderate,35.457,-93.4803,United States,Clarksville
United States of America,Derry,30,Good,1,Good,30,Good,4,Good,23,Good,54.9917,-7.3417,United Kingdom,Derry/Londonderry
United States of America,Derry,30,Good,1,Good,30,Good,4,Good,23,Good,42.8888,-71.2804,United States,Derry
United States of America,Derry,30,Good,1,Good,30,Good,4,Good,23,Good,40.2709,-76.6561,United States,Derry Township
Ukraine,Donetsk,37,Good,1,Good,37,Good,0,Good,14,Good,48.0028,37.8053,Ukraine,Donetsk
Ukraine,Donetsk,37,Good,1,Good,37,Good,0,Good,14,Good,48.3333,39.9333,Russia,Donetsk
Mexico,El Rosario,110,Unhealthy for Sensitive Groups,2,Good,11,Good,3,Good,110,Unhealthy for Sensitive Groups,22.9922,-105.8572,Mexico,El Rosario
Mexico,El Rosario,110,Unhealthy for Sensitive Groups,2,Good,11,Good,3,Good,110,Unhealthy for Sensitive Groups,13.5,-89.0333,El Salvador,El Rosario
Uruguay,Colonia,52,Moderate,1,Good,11,Good,3,Good,52,Moderate,9.5167,138.1333,Federated States of Micronesia,Weeloey
Uruguay,Colonia,52,Moderate,1,Good,11,Good,3,Good,52,Moderate,40.5926,-74.3148,United States,Woodbridge Township
Germany,Coswig,67,Moderate,1,Good,40,Good,1,Good,67,Moderate,51.1333,13.5833,Germany,Coswig
Germany,Coswig,67,Moderate,1,Good,40,Good,1,Good,67,Moderate,51.8833,12.4333,Germany,Coswig (Anhalt)
Italy,Amelia,60,Moderate,1,Good,36,Good,3,Good,60,Moderate,42.55,12.4167,Italy,Amelia
Italy,Amelia,60,Moderate,1,Good,36,Good,3,Good,60,Moderate,39.0269,-84.2218,United States,Amelia
United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,Good,28,Good,4,Good,22,Good,50.8208,-0.1375,United Kingdom,Brighton
United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,Good,28,Good,4,Good,22,Good,39.9716,-104.7963,United States,Brighton
United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,Good,28,Good,4,Good,22,Good,43.1175,-77.5835,United States,City of Rochester
United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,Good,28,Good,4,Good,22,Good,44.1222,-77.7642,Canada,Brighton
United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,Good,28,Good,4,Good,22,Good,40.7023,-80.3677,United States,Brighton Township
United States of America,Fullerton,114,Unhealthy for Sensitive Groups,4,Good,4,Good,33,Good,114,Unhealthy for Sensitive Groups,33.8841,-117.9279,United States,Fullerton
United States of America,Fullerton,114,Unhealthy for Sensitive Groups,4,Good,4,Good,33,Good,114,Unhealthy for Sensitive Groups,40.6309,-75.4834,United States,Whitehall
Niger,Gaya,45,Good,1,Good,24,Good,0,Good,45,Good,24.75,85.01,India,Gaya
Niger,Gaya,45,Good,1,Good,24,Good,0,Good,45,Good,11.8878,3.4467,Niger,Gaya
United States of America,Dunedin,63,Moderate,1,Good,32,Good,4,Good,63,Moderate,-45.8742,170.5036,New Zealand,Dunedin
United States of America,Dunedin,63,Moderate,1,Good,32,Good,4,Good,63,Moderate,28.0329,-82.7862,United States,Dunedin
Russian Federation,Zheleznogorsk,42,Good,1,Good,33,Good,0,Good,42,Good,52.3333,35.3667,Russia,Zheleznogorsk
Russian Federation,Zheleznogorsk,42,Good,1,Good,33,Good,0,Good,42,Good,56.25,93.5333,Russia,Zheleznogorsk
United Kingdom of Great Britain and Northern Ireland,Grimsby,36,Good,1,Good,36,Good,3,Good,13,Good,53.5675,-0.08,United Kingdom,Grimsby
United Kingdom of Great Britain and Northern Ireland,Grimsby,36,Good,1,Good,36,Good,3,Good,13,Good,43.2,-79.55,Canada,Grimsby
United States of America,Hendersonville,78,Moderate,3,Good,16,Good,20,Good,78,Moderate,36.3063,-86.5997,United States,Hendersonville
United States of America,Hendersonville,78,Moderate,3,Good,16,Good,20,Good,78,Moderate,35.3247,-82.4575,United States,Hendersonville
United Kingdom of Great Britain and Northern Ireland,Hereford,26,Good,1,Good,25,Good,5,Good,26,Good,52.056,-2.716,United Kingdom,Hereford
United Kingdom of Great Britain and Northern Ireland,Hereford,26,Good,1,Good,25,Good,5,Good,26,Good,34.8225,-102.4001,United States,Hereford
India,Hisar,174,Unhealthy,3,Good,174,Unhealthy,1,Good,167,Unhealthy,29.15,75.7,India,Hisar
India,Hisar,174,Unhealthy,3,Good,174,Unhealthy,1,Good,167,Unhealthy,26.5495,85.9406,India,Harlakhi
United States of America,Fairmont,87,Moderate,3,Good,1,Good,26,Good,87,Moderate,39.4768,-80.1491,United States,Fairmont
United States of America,Fairmont,87,Moderate,3,Good,1,Good,26,Good,87,Moderate,43.6441,-94.4621,United States,Fairmont
United States of America,Fitchburg,42,Good,1,Good,27,Good,4,Good,42,Good,42.5912,-71.8156,United States,Fitchburg
United States of America,Fitchburg,42,Good,1,Good,27,Good,4,Good,42,Good,42.9859,-89.4255,United States,Fitchburg
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,-27.7464,29.9328,South Africa,Newcastle
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,54.98,-1.61,United Kingdom,Newcastle upon Tyne
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,-32.9167,151.75,Australia,Newcastle
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,47.5304,-122.1633,United States,Newcastle
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,35.2401,-97.5995,United States,Newcastle
United States of America,Myrtle Grove,51,Moderate,2,Good,38,Good,7,Good,51,Moderate,30.4158,-87.3027,United States,Myrtle Grove
United States of America,Myrtle Grove,51,Moderate,2,Good,38,Good,7,Good,51,Moderate,34.123,-77.8834,United States,New Hanover County
India,Saidpur,174,Unhealthy,4,Good,173,Unhealthy,2,Good,174,Unhealthy,25.8004,89.0,Bangladesh,Taraganj
India,Saidpur,174,Unhealthy,4,Good,173,Unhealthy,2,Good,174,Unhealthy,25.7781,88.8975,Bangladesh,Saidpur
India,Saidpur,174,Unhealthy,4,Good,173,Unhealthy,2,Good,174,Unhealthy,33.7421,73.0677,Pakistan,Saidpur
India,Saidpur,174,Unhealthy,4,Good,173,Unhealthy,2,Good,174,Unhealthy,25.55,83.18,India,Aunrihar Kala
India,Saidpur,174,Unhealthy,4,Good,173,Unhealthy,2,Good,174,Unhealthy,25.5436,86.564,India,Maheshkhunt
United States of America,Redding,34,Good,1,Good,21,Good,5,Good,34,Good,40.5698,-122.365,United States,Redding
United States of America,Redding,34,Good,1,Good,21,Good,5,Good,34,Good,41.305,-73.3915,United States,Redding
Cuba,Remedios,50,Good,0,Good,20,Good,1,Good,50,Good,22.4922,-79.5458,Cuba,Remedios
